Tipo,Codigo,Titulo,OrigemPasta,OrigemArquivo,DestinoPasta,DestinoArquivo
PRODUTO,DS040,Mascara capilar Arvensis Cachos Naturais,EC20E29C-E7F5-4057-A1E6-C4235FDCA0E4,4-Foto-4.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS040_mascara_capilar_arvensis_cachos_naturais,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS040_mascara_capilar_arvensis_cachos_naturais\DS040_mascara_capilar_arvensis_cachos_naturais_01.jpg
PRODUTO,DS041,Colageno hidrolisado Covitta Beauty,EC20E29C-E7F5-4057-A1E6-C4235FDCA0E4,5-Foto-5.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS041_colageno_hidrolisado_covitta_beauty,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS041_colageno_hidrolisado_covitta_beauty\DS041_colageno_hidrolisado_covitta_beauty_01.jpg
PRODUTO,DS042,Friskies saches filhotes carne 15 un,3B5D5471-04C4-48AE-82C2-83BBE14F28F9,1-Foto-1.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS042_friskies_saches_filhotes_carne_15_un,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS042_friskies_saches_filhotes_carne_15_un\DS042_friskies_saches_filhotes_carne_15_un_01.jpg
PRODUTO,DS043,Cafe com Deus Pai,3B5D5471-04C4-48AE-82C2-83BBE14F28F9,2-Foto-2.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS043_cafe_com_deus_pai,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS043_cafe_com_deus_pai\DS043_cafe_com_deus_pai_01.jpg
PRODUTO,DS044,O Caibalion,3B5D5471-04C4-48AE-82C2-83BBE14F28F9,3-Foto-3.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS044_o_caibalion,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS044_o_caibalion\DS044_o_caibalion_01.jpg
PRODUTO,DS045,Jogo de cama solteiro 4 pecas,7705B4D5-5F7D-4E70-816B-D5AF78B09063,1-Foto-1.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS045_jogo_de_cama_solteiro_4_pecas,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS045_jogo_de_cama_solteiro_4_pecas\DS045_jogo_de_cama_solteiro_4_pecas_01.jpg
PRODUTO,DS045,Jogo de cama solteiro 4 pecas,7705B4D5-5F7D-4E70-816B-D5AF78B09063,4-Foto-4.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS045_jogo_de_cama_solteiro_4_pecas,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS045_jogo_de_cama_solteiro_4_pecas\DS045_jogo_de_cama_solteiro_4_pecas_02.jpg
PRODUTO,DS046,Par de palhetas 22 26,7705B4D5-5F7D-4E70-816B-D5AF78B09063,2-Foto-2.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS046_par_de_palhetas_22_26,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS046_par_de_palhetas_22_26\DS046_par_de_palhetas_22_26_01.jpg
PRODUTO,DS046,Par de palhetas 22 26,7705B4D5-5F7D-4E70-816B-D5AF78B09063,3-Foto-3.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS046_par_de_palhetas_22_26,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS046_par_de_palhetas_22_26\DS046_par_de_palhetas_22_26_02.jpg
PRODUTO,DS047,Refil mop chenille pack 5,28259B7A-F993-4C0F-81FA-9E8E07C7D6EF,1-Foto-1.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS047_refil_mop_chenille_pack_5,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS047_refil_mop_chenille_pack_5\DS047_refil_mop_chenille_pack_5_01.jpg
PRODUTO,DS047,Refil mop chenille pack 5,28259B7A-F993-4C0F-81FA-9E8E07C7D6EF,2-Foto-2.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS047_refil_mop_chenille_pack_5,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS047_refil_mop_chenille_pack_5\DS047_refil_mop_chenille_pack_5_02.jpg
PRODUTO,DS048,Tenis Dostin Hike preto,C2A0C9BB-73D9-4146-85C4-1C16853878CA,1-Foto-1.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS048_tenis_dostin_hike_preto,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS048_tenis_dostin_hike_preto\DS048_tenis_dostin_hike_preto_01.jpg
PRODUTO,DS049,Arame farpado aco zincado 50 kgf,C2A0C9BB-73D9-4146-85C4-1C16853878CA,2-Foto-2.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS049_arame_farpado_aco_zincado_50_kgf,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS049_arame_farpado_aco_zincado_50_kgf\DS049_arame_farpado_aco_zincado_50_kgf_01.jpg
PRODUTO,DS050,Macaco hidraulico 2T jacare,C2A0C9BB-73D9-4146-85C4-1C16853878CA,3-Foto-3.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS050_macaco_hidraulico_2t_jacare,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS050_macaco_hidraulico_2t_jacare\DS050_macaco_hidraulico_2t_jacare_01.jpg
PRODUTO,DS051,Pote para leite em po Buba,144B3181-E72B-4612-9C48-220C666E69D6,1-Foto-1.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS051_pote_para_leite_em_po_buba,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS051_pote_para_leite_em_po_buba\DS051_pote_para_leite_em_po_buba_01.jpg
PRODUTO,DS051,Pote para leite em po Buba,144B3181-E72B-4612-9C48-220C666E69D6,2-Foto-2.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS051_pote_para_leite_em_po_buba,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS051_pote_para_leite_em_po_buba\DS051_pote_para_leite_em_po_buba_02.jpg
PRODUTO,DS052,Meia calca infantil 120D,05A5D97B-E740-4947-9FCF-8B65A43A9E91,1-Foto-1.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS052_meia_calca_infantil_120d,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS052_meia_calca_infantil_120d\DS052_meia_calca_infantil_120d_01.jpg
PRODUTO,DS052,Meia calca infantil 120D,05A5D97B-E740-4947-9FCF-8B65A43A9E91,2-Foto-2.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS052_meia_calca_infantil_120d,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS052_meia_calca_infantil_120d\DS052_meia_calca_infantil_120d_02.jpg
PRODUTO,DS053,Massa de modelar DAS,F5C14013-BCED-4055-962F-535F106A959E,1-Foto-1.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS053_massa_de_modelar_das,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS053_massa_de_modelar_das\DS053_massa_de_modelar_das_01.jpg
PRODUTO,DS054,Unhas postiças press on,F5C14013-BCED-4055-962F-535F106A959E,2-Foto-2.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS054_unhas_posticas_press_on,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS054_unhas_posticas_press_on\DS054_unhas_posticas_press_on_01.jpg
PRODUTO,DS055,Verniz acrilico Acrilex,F5C14013-BCED-4055-962F-535F106A959E,3-Foto-3.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS055_verniz_acrilico_acrilex,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS055_verniz_acrilico_acrilex\DS055_verniz_acrilico_acrilex_01.jpg
PRODUTO,DS056,Giotto 12 potes,92E8A5BD-F91E-46AC-87C1-52D7DCD1CDC9,1-Foto-1.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS056_giotto_12_potes,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS056_giotto_12_potes\DS056_giotto_12_potes_01.jpg
